
Sublist	Category	Term	RT	Genes	Count	%	P-Value	Benjamini
	GOTERM_BP_DIRECT	visual perception	RT		5	15.2	6.9E-6	1.2E-3
	GOTERM_BP_DIRECT	phototransduction	RT		3	9.1	4.7E-3	4.1E-1
	GOTERM_BP_DIRECT	phospholipase C-activating G protein-coupled receptor signaling pathway	RT		2	6.1	2.7E-2	1.0E0
	GOTERM_BP_DIRECT	mating behavior	RT		2	6.1	2.9E-2	1.0E0
	GOTERM_BP_DIRECT	thermotaxis	RT		2	6.1	3.7E-2	1.0E0
	GOTERM_BP_DIRECT	regulation of synaptic plasticity	RT		2	6.1	4.3E-2	1.0E0
	GOTERM_BP_DIRECT	regulation of synapse structure or activity	RT		2	6.1	4.7E-2	1.0E0
	GOTERM_BP_DIRECT	innate immune response	RT		3	9.1	7.0E-2	1.0E0
	GOTERM_BP_DIRECT	rhabdomere development	RT		2	6.1	7.5E-2	1.0E0
	GOTERM_BP_DIRECT	animal organ development	RT		2	6.1	8.4E-2	1.0E0
	GOTERM_BP_DIRECT	neuromuscular junction development	RT		2	6.1	9.6E-2	1.0E0
