Sublist	Category	Term	RT	Genes	Count	%	P-Value	Benjamini
	GOTERM_BP_DIRECT	chitin-based cuticle development	RT		8	19.5	1.1E-7	1.4E-5
	GOTERM_BP_DIRECT	open tracheal system development	RT		4	9.8	1.5E-3	9.4E-2
	GOTERM_BP_DIRECT	multicellular organismal reproductive process	RT		3	7.3	4.8E-3	2.0E-1
	GOTERM_BP_DIRECT	dorsal/ventral axis specification, ovarian follicular epithelium	RT		2	4.9	3.1E-2	8.4E-1
	GOTERM_BP_DIRECT	ecdysis, chitin-based cuticle	RT		2	4.9	4.9E-2	8.4E-1
	GOTERM_BP_DIRECT	larval chitin-based cuticle development	RT		2	4.9	4.9E-2	8.4E-1
	GOTERM_BP_DIRECT	positive regulation of transcription by RNA polymerase II	RT		4	9.8	5.1E-2	8.4E-1
	GOTERM_BP_DIRECT	spiracle morphogenesis, open tracheal system	RT		2	4.9	5.4E-2	8.4E-1
	GOTERM_BP_DIRECT	response to wounding	RT		2	4.9	7.0E-2	9.7E-1
	GOTERM_BP_DIRECT	Malpighian tubule morphogenesis	RT		2	4.9	8.1E-2	1.0E0
